バッチ番号,スキャナ読取日,イメージファイル名
001,20180401,201804011501001.jpg
001,20180401,201804011501002.jpg
001,20180401,201804011501003.jpg
001,20180401,201804011501004.jpg
001,20180401,201804011501005.jpg
001,20180401,201804011501006.jpg
001,20180401,201804011501007.jpg
001,20180401,201804011501008.jpg
001,20180401,201804011501009.jpg
001,20180401,201804011501010.jpg
001,20180401,201804011501011.jpg
001,20180401,201804011501012.jpg
001,20180401,201804011501013.jpg
001,20180401,201804011501014.jpg
001,20180401,201804011501015.jpg
001,20180401,201804011501016.jpg
001,20180401,201804011501017.jpg
001,20180401,201804011501018.jpg
001,20180401,201804011501019.jpg
001,20180401,201804011501020.jpg
002,20180401,201804011502467.jpg
002,20180401,201804011502468.jpg
002,20180401,201804011502469.jpg
002,20180401,201804011502470.jpg
002,20180401,201804011502471.jpg
002,20180401,201804011502472.jpg
002,20180401,201804011502473.jpg
002,20180401,201804011502474.jpg
002,20180401,201804011502475.jpg
002,20180401,201804011502476.jpg
002,20180401,201804011502477.jpg
002,20180401,201804011502478.jpg
002,20180401,201804011502479.jpg
002,20180401,201804011502480.jpg
002,20180401,201804011502481.jpg
002,20180401,201804011502482.jpg
002,20180401,201804011502483.jpg
002,20180401,201804011502484.jpg
002,20180401,201804011502485.jpg
002,20180401,201804011502486.jpg
002,20180401,201804011502487.jpg
002,20180401,201804011502488.jpg
002,20180401,201804011502489.jpg
002,20180401,201804011502490.jpg
002,20180401,201804011502491.jpg
002,20180401,201804011502492.jpg
002,20180401,201804011502493.jpg
002,20180401,201804011502494.jpg
002,20180401,201804011502495.jpg
002,20180401,201804011502496.jpg
002,20180401,201804011502497.jpg
002,20180401,201804011502498.jpg
002,20180401,201804011502499.jpg
002,20180401,201804011502500.jpg
002,20180401,201804011502501.jpg
002,20180401,201804011502502.jpg
002,20180401,201804011502503.jpg
002,20180401,201804011502504.jpg
002,20180401,201804011502505.jpg
002,20180401,201804011502506.jpg
002,20180401,201804011502507.jpg
002,20180401,201804011502508.jpg
002,20180401,201804011502509.jpg
002,20180401,201804011502510.jpg
002,20180401,201804011502511.jpg
002,20180401,201804011502512.jpg
002,20180401,201804011502513.jpg
002,20180401,201804011502514.jpg
002,20180401,201804011502515.jpg
003,20180401,201804011503012.jpg
003,20180401,201804011503013.jpg
003,20180401,201804011503014.jpg
003,20180401,201804011503015.jpg
003,20180401,201804011503016.jpg
003,20180401,201804011503017.jpg
003,20180401,201804011503018.jpg
003,20180401,201804011503019.jpg
003,20180401,201804011503020.jpg
003,20180401,201804011503021.jpg
003,20180401,201804011503022.jpg
003,20180401,201804011503023.jpg
003,20180401,201804011503024.jpg
003,20180401,201804011503025.jpg
003,20180401,201804011503026.jpg
003,20180401,201804011503027.jpg
003,20180401,201804011503028.jpg
003,20180401,201804011503029.jpg
003,20180401,201804011503030.jpg
003,20180401,201804011503031.jpg
003,20180401,201804011503032.jpg
005,20180401,201804011505471.jpg
005,20180401,201804011505472.jpg
005,20180401,201804011505473.jpg
005,20180401,201804011505474.jpg
005,20180401,201804011505475.jpg
005,20180401,201804011505476.jpg
005,20180401,201804011505477.jpg
005,20180401,201804011505478.jpg
005,20180401,201804011505479.jpg
005,20180401,201804011505480.jpg
005,20180401,201804011505481.jpg
005,20180401,201804011505482.jpg
005,20180401,201804011505483.jpg
005,20180401,201804011505484.jpg
005,20180401,201804011505485.jpg
